exposure_to_patient_isolation,enter_area_isolation,appearance_of_symptoms_isolation,risk_groups_isolation,full_quarantine,partial_quarantine,unnecessary_business,educational_institutions,religious_institutions,distance_saving_instructions,congregation_restriction,prohibition_entering_country,public_transport_restriction,limit_hospital_visits,limit_retirement_homes_visits,disinfecting_public_spaces,police_army_enforcement,fines_and_incarceration,country,province,start_date,lockdown_level
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,2,2,1,10,FALSE,1,TRUE,TRUE,TRUE,TRUE,FALSE,US,Washington,22/03/2020 00:00,4
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,2,2,2,,10,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,US,New York,22/03/2020 00:00,4
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,2,2,1,10,FALSE,1,TRUE,TRUE,TRUE,FALSE,FALSE,US,Washington,21/03/2020 00:00,4
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,2,2,0,1,10,FALSE,1,TRUE,TRUE,TRUE,FALSE,FALSE,US,Washington,20/03/2020 00:00,3
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,2,2,2,10,FALSE,1,TRUE,TRUE,FALSE,FALSE,FALSE,US,California,19/03/2020 00:00,4
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,2,0,1,10,FALSE,1,TRUE,TRUE,TRUE,FALSE,FALSE,US,Washington,19/03/2020 00:00,3
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,2,0,1,100,TRUE,1,FALSE,TRUE,FALSE,TRUE,TRUE,France,all,18/03/2020 00:00,4
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,2,0,1,10,FALSE,0,TRUE,TRUE,FALSE,FALSE,FALSE,US,Washington,18/03/2020 00:00,3
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0,2,0,1,100,TRUE,1,FALSE,TRUE,FALSE,TRUE,TRUE,France,all,17/03/2020 00:00,4
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,2,0,1,10,FALSE,0,TRUE,TRUE,FALSE,FALSE,FALSE,US,Washington,17/03/2020 00:00,3
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,0,2,10,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,US,California,17/03/2020 00:00,3
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2,2,1,1,,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,Spain,all,16/03/2020 00:00,4
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,2,0,1,100,FALSE,0,FALSE,TRUE,FALSE,FALSE,TRUE,France,all,16/03/2020 00:00,2
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,0,,50,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,US,New York,16/03/2020 00:00,3
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,0,2,250,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,California,16/03/2020 00:00,2
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,,10,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,US,all,16/03/2020 00:00,2
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2,2,1,1,,FALSE,1,FALSE,FALSE,TRUE,TRUE,TRUE,Spain,all,15/03/2020 00:00,4
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,0,1,250,FALSE,0,TRUE,TRUE,FALSE,FALSE,FALSE,US,Washington,14/03/2020 00:00,3
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2,0,,1000,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Catalunya,14/03/2020 00:00,3
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Cantabria,14/03/2020 00:00,3
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Murcia,14/03/2020 00:00,3
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Galicia,14/03/2020 00:00,3
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Basque,14/03/2020 00:00,3
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Asturias,14/03/2020 00:00,3
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,1,100,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,France,all,13/03/2020 00:00,2
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,,500,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,US,New York,13/03/2020 00:00,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,2,250,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,California,13/03/2020 00:00,2
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,1,1000,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,France,all,12/03/2020 00:00,1
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,all,12/03/2020 00:00,3
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,,500,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,New York,12/03/2020 00:00,2
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,1,250,FALSE,0,TRUE,TRUE,FALSE,FALSE,FALSE,US,Washington,11/03/2020 00:00,3
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,,1000,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Catalunya,11/03/2020 00:00,3
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,250,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,California,11/03/2020 00:00,1
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,2,0,,1000,FALSE,0,FALSE,FALSE,FALSE,TRUE,TRUE,Spain,La Rioja,10/03/2020 00:00,2
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,all,10/03/2020 00:00,3
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,2,,,FALSE,0,FALSE,FALSE,FALSE,TRUE,TRUE,Italy,all,09/03/2020 00:00,4
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Basque,09/03/2020 00:00,2
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Castilla - La Mancha,09/03/2020 00:00,2
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,New York,09/03/2020 00:00,2
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,1,1000,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,France,all,08/03/2020 00:00,1
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,1,,FALSE,0,TRUE,TRUE,FALSE,FALSE,FALSE,US,Washington,08/03/2020 00:00,3
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,New York,08/03/2020 00:00,2
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,2,2,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Lombardia,07/03/2020 00:00,4
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,TRUE,TRUE,Spain,La Rioja,07/03/2020 00:00,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,0,,,FALSE,0,FALSE,FALSE,FALSE,TRUE,TRUE,Italy,all,07/03/2020 00:00,2
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,1,5000,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,France,all,06/03/2020 00:00,1
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,,,FALSE,0,TRUE,TRUE,FALSE,FALSE,FALSE,US,Washington,05/03/2020 00:00,3
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,,,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,US,Washington,04/03/2020 00:00,3
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,all,04/03/2020 00:00,2
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,US,Washington,03/03/2020 00:00,2
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,,5000,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,France,all,02/03/2020 00:00,1
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,Washington,01/03/2020 00:00,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Sicilia,29/02/2020 00:00,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,5000,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,France,all,29/02/2020 00:00,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,1,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Emilia Romagna,27/02/2020 00:00,3
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,2,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Veneto,27/02/2020 00:00,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Trento,27/02/2020 00:00,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Friuli Venezia Giulia,27/02/2020 00:00,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,2,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Puglia,27/02/2020 00:00,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Marche,27/02/2020 00:00,3
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Abruzzo,27/02/2020 00:00,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Sicilia,26/02/2020 00:00,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Campania,26/02/2020 00:00,2
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Liguria,24/02/2020 00:00,3
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,1,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Piemonte,24/02/2020 00:00,2
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Basilicata,24/02/2020 00:00,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Trento,24/02/2020 00:00,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Friuli Venezia Giulia,24/02/2020 00:00,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,1,2,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Lombardia,23/02/2020 00:00,3
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Piemonte,23/02/2020 00:00,2
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Lombardia,21/02/2020 00:00,3
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Emilia Romagna,21/02/2020 00:00,2
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,France,Haute-Savoie,08/02/2020 00:00,1
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,all,31/01/2020 00:00,1
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,Washington,24/01/2020 00:00,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,France,all,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,France,Haute-Savoie,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,all,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Lombardia,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Emilia Romagna,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Piemonte,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Basilicata,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Liguria,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Trento,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Friuli Venezia Giulia,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Sicilia,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Campania,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Veneto,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Puglia,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Abruzzo,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Marche,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,all,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,La Rioja,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Basque,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Castilla - La Mancha,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Catalunya,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Cantabria,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Murcia,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Galicia,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,Asturias,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,all,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,Washington,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,New York,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,California,01/01/2019 00:00,0
