Country,State / Province
Australia,all
Australia,New South Wales
Australia,Queensland
Australia,South Australia
Australia,Victoria
Australia,Western Australia
Denmark,all
France,all
France,Haute-Savoie
Germany,all
Germany,Thuringen
Germany,Brandenburg
Germany,Saarland
Germany,Sachsen
Germany,Bremen
Germany,Mecklenburg-Vorpommern
Germany,Schleswig-Holstein
Germany,Rheinland-Pfalz
Germany,Hamburg
Germany,Hessen
Germany,Niedersachsen
Germany,Berlin
Germany,Baden-Wurttemberg
Germany,Bayern
Germany,Nordrhein-Westfalen
Germany,Sachsen-Anhalt
Germany,Repatriierte
Germany,Bavaria
Italy,all
Italy,Abruzzo
Italy,Basilicata
Italy,P.A. Bolzano
Italy,Calabria
Italy,Campania
Italy,Emilia Romagna
Italy,Friuli Venezia Giulia
Italy,Lazio
Italy,Liguria
Italy,Lombardia
Italy,Marche
Italy,Molise
Italy,Piemonte
Italy,Puglia
Italy,Sardegna
Italy,Sicilia
Italy,Toscana
Italy,P.A. Trento
Italy,Umbria
Italy,Valle d'Aosta
Italy,Veneto
Singapore,all
Spain,all
Spain,Andalucia
Spain,Aragon
Spain,Asturias
Spain,Baleares
Spain,Canarias
Spain,Cantabria
Spain,CastillaLaMancha
Spain,CastillayLeon
Spain,Cataluna
Spain,Ceuta
Spain,CValenciana
Spain,Extremadura
Spain,Galicia
Spain,Madrid
Spain,Melilla
Spain,Murcia
Spain,Navarra
Spain,PaisVasco
Spain,LaRioja
Spain,Castilla-LaMancha
United Kingdom,all
United Kingdom,Rutland
United Kingdom,North East Lincolnshire
United Kingdom,"Kingston upon Hull, City of"
United Kingdom,Blackburn with Darwen
United Kingdom,Isle of Wight
United Kingdom,Middlesbrough
United Kingdom,North Lincolnshire
United Kingdom,Bracknell Forest
United Kingdom,Hartlepool
United Kingdom,Telford and Wrekin
United Kingdom,Peterborough
United Kingdom,Darlington
United Kingdom,Redcar and Cleveland
United Kingdom,Stoke-on-Trent
United Kingdom,Gateshead
United Kingdom,Knowsley
United Kingdom,Blackpool
United Kingdom,South Tyneside
United Kingdom,St. Helens
United Kingdom,Warrington
United Kingdom,"Herefordshire, County of"
United Kingdom,Swindon
United Kingdom,Calderdale
United Kingdom,North Somerset
United Kingdom,Halton
United Kingdom,Bedford
United Kingdom,Solihull
United Kingdom,Southend-on-Sea
United Kingdom,Reading
United Kingdom,Wigan
United Kingdom,Doncaster
United Kingdom,York
United Kingdom,Shropshire
United Kingdom,Sefton
United Kingdom,Northumberland
United Kingdom,West Berkshire
United Kingdom,East Sussex
United Kingdom,Plymouth
United Kingdom,Barnsley
United Kingdom,Southampton
United Kingdom,Stockton-on-Tees
United Kingdom,Wakefield
United Kingdom,Rotherham
United Kingdom,Wirral
United Kingdom,Sunderland
United Kingdom,"Bournemouth, Christchurch and Poole"
United Kingdom,Thurrock
United Kingdom,Bradford
United Kingdom,Windsor and Maidenhead
United Kingdom,Wokingham
United Kingdom,Dorset
United Kingdom,County Durham
United Kingdom,Bury
United Kingdom,Medway
United Kingdom,Luton
United Kingdom,Somerset
United Kingdom,Kirklees
United Kingdom,Cheshire West and Chester
United Kingdom,Bath and North East Somerset
United Kingdom,East Riding of Yorkshire
United Kingdom,Brighton and Hove
United Kingdom,Milton Keynes
United Kingdom,Torbay
United Kingdom,North Tyneside
United Kingdom,Cheshire East
United Kingdom,Bolton
United Kingdom,Rochdale
United Kingdom,South Gloucestershire
United Kingdom,Coventry
United Kingdom,Central Bedfordshire
United Kingdom,Lincolnshire
United Kingdom,Suffolk
United Kingdom,Slough
United Kingdom,Leicester
United Kingdom,Kingston upon Thames
United Kingdom,Derby
United Kingdom,North Yorkshire
United Kingdom,Sutton
United Kingdom,Salford
United Kingdom,Cornwall and Isles of Scilly
United Kingdom,Portsmouth
United Kingdom,Dudley
United Kingdom,Tameside
United Kingdom,Oldham
United Kingdom,Wiltshire
United Kingdom,West Sussex
United Kingdom,Trafford
United Kingdom,"Bristol, City of"
United Kingdom,Worcestershire
United Kingdom,Northamptonshire
United Kingdom,Cambridgeshire
United Kingdom,Richmond upon Thames
United Kingdom,Sandwell
United Kingdom,Gloucestershire
United Kingdom,Leeds
United Kingdom,Warwickshire
United Kingdom,Norfolk
United Kingdom,Liverpool
United Kingdom,Stockport
United Kingdom,Walsall
United Kingdom,Manchester
United Kingdom,Havering
United Kingdom,Nottingham
United Kingdom,Barking and Dagenham
United Kingdom,Newcastle upon Tyne
United Kingdom,Bexley
United Kingdom,Buckinghamshire
United Kingdom,Devon
United Kingdom,Redbridge
United Kingdom,Leicestershire
United Kingdom,Staffordshire
United Kingdom,Waltham Forest
United Kingdom,Merton
United Kingdom,Hammersmith and Fulham
United Kingdom,Lancashire
United Kingdom,Islington
United Kingdom,Camden
United Kingdom,Oxfordshire
United Kingdom,Haringey
United Kingdom,Kent
United Kingdom,Greenwich
United Kingdom,Essex
United Kingdom,Tower Hamlets
United Kingdom,Wolverhampton
United Kingdom,Surrey
United Kingdom,Newham
United Kingdom,Nottinghamshire
United Kingdom,Hackney and City of London
United Kingdom,Hounslow
United Kingdom,Bromley
United Kingdom,Enfield
United Kingdom,Hillingdon
United Kingdom,Derbyshire
United Kingdom,Croydon
United Kingdom,Kensington and Chelsea
United Kingdom,Lewisham
United Kingdom,Barnet
United Kingdom,Ealing
United Kingdom,Sheffield
United Kingdom,Cumbria
United Kingdom,Wandsworth
United Kingdom,Harrow
United Kingdom,Hertfordshire
United Kingdom,Westminster
United Kingdom,Lambeth
United Kingdom,Birmingham
United Kingdom,Brent
United Kingdom,Southwark
United Kingdom,Hampshire
United Kingdom,Borders
United Kingdom,Highland
United Kingdom,Grampian
United Kingdom,Shetland
United Kingdom,Fife
United Kingdom,Dumfries and Galloway
United Kingdom,Ayrshire and Arran
United Kingdom,Forth Valley
United Kingdom,Tayside
United Kingdom,Lothian
United Kingdom,Lanarkshire
United Kingdom,Greater Glasgow and Clyde
United Kingdom,Denbighshire County Council
United Kingdom,Gwynedd Council
United Kingdom,Merthyr Tydfil County Borough Council
United Kingdom,Vale of Glamorgan Council
United Kingdom,Ceredigion County Council
United Kingdom,Conwy County Borough Council
United Kingdom,Flintshire County Council
United Kingdom,Neath Port Talbot Council
United Kingdom,Total:
United Kingdom,City of Cardiff Council
United Kingdom,Caerphilly County Borough Council
United Kingdom,Wrexham County Borough Council
United Kingdom,Rhondda Cynon Taf County Borough Council
United Kingdom,Pembrokeshire County Council
United Kingdom,Isle of Anglesey County Council
United Kingdom,Resident outside Wales
United Kingdom,City and County of Swansea
United Kingdom,Newport City Council
United Kingdom,Torfaen County Borough Council
United Kingdom,Bridgend County Borough Council
United Kingdom,Powys County Council
United Kingdom,Carmarthenshire County Council
United Kingdom,Monmouthshire County Council
United Kingdom,Blaenau Gwent County Borough Council
United Kingdom,To be confirmed
United Kingdom,Hywel Dda
United Kingdom,Aneurin Bevan
United Kingdom,Swansea Bay
United Kingdom,Cardiff and Vale
United Kingdom,Betsi Cadwaladr
United Kingdom,Cwm Taf
United Kingdom,Powys
United Kingdom,Residential area to be confirmed
United Kingdom,Wales
United States of America,all
United States of America,California
United States of America,New York
United States of America,Washington
United States of America,New Jersey
Canada,all
Canada,Alberta
Canada,British Columbia
Canada,Manitoba
Canada,New Brunswick
Canada,Newfoundland and Labrador
Canada,Nova Scotia
Canada,Ontario
Canada,Prince Edward Island
Canada,Quebec
Canada,Saskatchewan
Canada,Northwest Territories
Canada,"Toronto, ON"
Canada,"Montreal, QC"
Canada,"Edmonton, Alberta"
Canada,"Calgary, Alberta"
Canada,"London, ON"
Canada,Nunavut
Canada,Yukon
Taiwan,all
Netherlands,all
Netherlands,Terschelling
Netherlands,Vlieland
Netherlands,Schiermonnikoog
Netherlands,Ameland
Netherlands,Stadskanaal
Netherlands,Loppersum
Netherlands,Renswoude
Netherlands,Ooststellingwerf
Netherlands,Appingedam
Netherlands,Kapelle
Netherlands,Borger-Odoorn
Netherlands,Veendam
Netherlands,Rozendaal
Netherlands,Eemnes
Netherlands,Noord-Beveland
Netherlands,Oldambt
Netherlands,Achtkarspelen
Netherlands,Texel
Netherlands,Weststellingwerf
Netherlands,Dantumadiel
Netherlands,Baarle-Nassau
Netherlands,Losser
Netherlands,Opmeer
Netherlands,Zoeterwoude
Netherlands,Pekela
Netherlands,Bergen (L.)
Netherlands,Lisse
Netherlands,Scherpenzeel
Netherlands,Winterswijk
Netherlands,Westerwolde
Netherlands,Tytsjerksteradiel
Netherlands,Harlingen
Netherlands,Midden-Delfland
Netherlands,Westervoort
Netherlands,Midden-Drenthe
Netherlands,Aa en Hunze
Netherlands,Berkelland
Netherlands,Noordenveld
Netherlands,Wijdemeren
Netherlands,Aalten
Netherlands,Hulst
Netherlands,Staphorst
Netherlands,Hillegom
Netherlands,Bunschoten
Netherlands,Hendrik-Ido-Ambacht
Netherlands,Rhenen
Netherlands,Putten
Netherlands,Noardeast-Fryslan
Netherlands,Sluis
Netherlands,Doesburg
Netherlands,Blaricum
Netherlands,Beemster
Netherlands,Westerveld
Netherlands,Woensdrecht
Netherlands,Wassenaar
Netherlands,Waadhoeke
Netherlands,Borsele
Netherlands,Drechterland
Netherlands,Duiven
Netherlands,Reusel-De Mierden
Netherlands,Reimerswaal
Netherlands,Sliedrecht
Netherlands,Papendrecht
Netherlands,Delfzijl
Netherlands,De Wolden
Netherlands,Opsterland
Netherlands,Baarn
Netherlands,Alblasserdam
Netherlands,Leiderdorp
Netherlands,Woudenberg
Netherlands,Voorschoten
Netherlands,Landsmeer
Netherlands,Twenterand
Netherlands,Laren
Netherlands,Meppel
Netherlands,Midden-Groningen
Netherlands,Waalre
Netherlands,Kaag en Braassem
Netherlands,Mook en Middelaar
Netherlands,Wageningen
Netherlands,Brummen
Netherlands,Oostzaan
Netherlands,Olst-Wijhe
Netherlands,Uitgeest
Netherlands,Waddinxveen
Netherlands,Zeewolde
Netherlands,Heerenveen
Netherlands,Diemen
Netherlands,Wierden
Netherlands,Het Hogeland
Netherlands,Buren
Netherlands,Veere
Netherlands,Vaals
Netherlands,Haaksbergen
Netherlands,Nieuwkoop
Netherlands,Bunnik
Netherlands,Zandvoort
Netherlands,Ommen
Netherlands,Steenwijkerland
Netherlands,Montferland
Netherlands,Hardinxveld-Giessendam
Netherlands,Smallingerland
Netherlands,Oude IJsselstreek
Netherlands,Weesp
Netherlands,Ouder-Amstel
Netherlands,Schouwen-Duiveland
Netherlands,Koggenland
Netherlands,Rucphen
Netherlands,Gulpen-Wittem
Netherlands,Mill en Sint Hubert
Netherlands,Wijk bij Duurstede
Netherlands,Oost Gelre
Netherlands,Den Helder
Netherlands,Noordoostpolder
Netherlands,Brielle
Netherlands,Bronckhorst
Netherlands,Maasdriel
Netherlands,Westvoorne
Netherlands,Bodegraven-Reeuwijk
Netherlands,Moerdijk
Netherlands,Assen
Netherlands,Hattem
Netherlands,Teylingen
Netherlands,Maasgouw
Netherlands,Wormerland
Netherlands,Dronten
Netherlands,Voerendaal
Netherlands,Hilvarenbeek
Netherlands,Vlissingen
Netherlands,Meerssen
Netherlands,Huizen
Netherlands,Hoogeveen
Netherlands,Cuijk
Netherlands,Tubbergen
Netherlands,Urk
Netherlands,Lochem
Netherlands,Waterland
Netherlands,Hellendoorn
Netherlands,Middelburg
Netherlands,Bergeijk
Netherlands,Oirschot
Netherlands,Simpelveld
Netherlands,Halderberge
Netherlands,Maassluis
Netherlands,Krimpen aan den IJssel
Netherlands,Oegstgeest
Netherlands,Montfoort
Netherlands,Beek
Netherlands,Emmen
Netherlands,Beesel
Netherlands,Valkenburg aan de Geul
Netherlands,Geertruidenberg
Netherlands,Hellevoetsluis
Netherlands,Langedijk
Netherlands,Zutphen
Netherlands,"Nuenen, Gerwen en Nederwetten"
Netherlands,Zaltbommel
Netherlands,Dalfsen
Netherlands,Heeze-Leende
Netherlands,Edam-Volendam
Netherlands,Uithoorn
Netherlands,Zuidplas
Netherlands,Steenbergen
Netherlands,Asten
Netherlands,Heiloo
Netherlands,Goes
Netherlands,Tynaarlo
Netherlands,Bergen op Zoom
Netherlands,Noordwijk
Netherlands,Lopik
Netherlands,Nijkerk
Netherlands,Druten
Netherlands,Hof van Twente
Netherlands,Roerdalen
Netherlands,Enkhuizen
Netherlands,Aalsmeer
Netherlands,Zwijndrecht
Netherlands,Elburg
Netherlands,West Maas en Waal
Netherlands,Gennep
Netherlands,Leusden
Netherlands,Schagen
Netherlands,Bloemendaal
Netherlands,Almelo
Netherlands,Rijswijk
Netherlands,Stede Broec
Netherlands,Veenendaal
Netherlands,Raalte
Netherlands,Westerkwartier
Netherlands,Voorst
Netherlands,Terneuzen
Netherlands,Culemborg
Netherlands,Heumen
Netherlands,Coevorden
Netherlands,Borne
Netherlands,Bladel
Netherlands,Rijssen-Holten
Netherlands,Hardenberg
Netherlands,Zevenaar
Netherlands,Dongen
Netherlands,Renkum
Netherlands,Oldenzaal
Netherlands,Beverwijk
Netherlands,Barneveld
Netherlands,De Fryske Marren
Netherlands,Medemblik
Netherlands,Ermelo
Netherlands,Bergen (NH.)
Netherlands,Hoorn
Netherlands,Eersel
Netherlands,Leeuwarden
Netherlands,Sudwest-Fryslan
Netherlands,Molenlanden
Netherlands,Haaren
Netherlands,Doetinchem
Netherlands,Castricum
Netherlands,Son en Breugel
Netherlands,De Ronde Venen
Netherlands,Beuningen
Netherlands,Katwijk
Netherlands,Leidschendam-Voorburg
Netherlands,Boxmeer
Netherlands,Albrandswaard
Netherlands,Gorinchem
Netherlands,Hilversum
Netherlands,Hollands Kroon
Netherlands,Harderwijk
Netherlands,Grave
Netherlands,Zundert
Netherlands,Oudewater
Netherlands,Roosendaal
Netherlands,Gooise Meren
Netherlands,Boxtel
Netherlands,Geldrop-Mierlo
Netherlands,Alphen-Chaam
Netherlands,Oisterwijk
Netherlands,Nederweert
Netherlands,Heemskerk
Netherlands,Best
Netherlands,Veldhoven
Netherlands,Lingewaard
Netherlands,Zoetermeer
Netherlands,Pijnacker-Nootdorp
Netherlands,Someren
Netherlands,Gilze en Rijen
Netherlands,Soest
Netherlands,Drimmelen
Netherlands,Oldebroek
Netherlands,Barendrecht
Netherlands,Loon op Zand
Netherlands,Sint Anthonis
Netherlands,Schiedam
Netherlands,Brunssum
Netherlands,Heerhugowaard
Netherlands,Echt-Susteren
Netherlands,Heemstede
Netherlands,Landgraaf
Netherlands,Utrechtse Heuvelrug
Netherlands,Neder-Betuwe
Netherlands,Tiel
Netherlands,Epe
Netherlands,Nieuwegein
Netherlands,Sint-Michielsgestel
Netherlands,Stichtse Vecht
Netherlands,Delft
Netherlands,Horst aan de Maas
Netherlands,Ridderkerk
Netherlands,Stein
Netherlands,Dinkelland
Netherlands,Lelystad
Netherlands,Goirle
Netherlands,Tholen
Netherlands,Rheden
Netherlands,West Betuwe
Netherlands,Valkenswaard
Netherlands,Kerkrade
Netherlands,Venray
Netherlands,Krimpenerwaard
Netherlands,Roermond
Netherlands,IJsselstein
Netherlands,Vught
Netherlands,Leiden
Netherlands,Heerde
Netherlands,Hengelo
Netherlands,Nissewaard
Netherlands,Velsen
Netherlands,De Bilt
Netherlands,Wijchen
Netherlands,Vlaardingen
Netherlands,Gouda
Netherlands,Weert
Netherlands,Beekdaelen
Netherlands,Alphen aan den Rijn
Netherlands,Altena
Netherlands,Oosterhout
Netherlands,Capelle aan den IJssel
Netherlands,Woerden
Netherlands,Laarbeek
Netherlands,Zwartewaterland
Netherlands,Dordrecht
Netherlands,Heusden
Netherlands,Zeist
Netherlands,Vijfheerenlanden
Netherlands,Alkmaar
Netherlands,Lansingerland
Netherlands,Landerd
Netherlands,Ede
Netherlands,Leudal
Netherlands,Nunspeet
Netherlands,Deventer
Netherlands,Eijsden-Margraten
Netherlands,Etten-Leur
Netherlands,Enschede
Netherlands,Houten
Netherlands,Cranendonck
Netherlands,Deurne
Netherlands,Waalwijk
Netherlands,Almere
Netherlands,Apeldoorn
Netherlands,Haarlemmermeer
Netherlands,Boekel
Netherlands,Overbetuwe
Netherlands,Westland
Netherlands,Hoeksche Waard
Netherlands,Arnhem
Netherlands,Purmerend
Netherlands,Berg en Dal
Netherlands,Kampen
Netherlands,Amersfoort
Netherlands,Zaanstad
Netherlands,Amstelveen
Netherlands,Haarlem
Netherlands,Heerlen
Netherlands,Groningen
Netherlands,Zwolle
Netherlands,Gemert-Bakel
Netherlands,Venlo
Netherlands,Helmond
Netherlands,Goeree-Overflakkee
Netherlands,Sittard-Geleen
Netherlands,Bernheze
Netherlands,Peel en Maas
Netherlands,Eindhoven
Netherlands,'s-Hertogenbosch
Netherlands,Uden
Netherlands,Oss
Netherlands,s-Gravenhage
Netherlands,Maastricht
Netherlands,Nijmegen
Netherlands,Meierijstad
Netherlands,Breda
Netherlands,Utrecht
Netherlands,Tilburg
Netherlands,Rotterdam
Netherlands,Amsterdam
Netherlands,Hengelo (O)
Netherlands,Bergen (L)
Netherlands,Bergen (NH)
Netherlands,'s-Gravenhage
Netherlands,Sudwest Fryslan
Netherlands,Aruba
Netherlands,Curacao
Netherlands,Sint Maarten
Israel,all
Sweden,all
Sweden,Blekinge
Norway,all
Switzerland,all
Switzerland,AG
Switzerland,AI
Switzerland,AR
Switzerland,BE
Switzerland,BL
Switzerland,BS
Switzerland,FR
Switzerland,GE
Switzerland,GL
Switzerland,GR
Switzerland,JU
Switzerland,LU
Switzerland,NE
Switzerland,NW
Switzerland,OW
Switzerland,SG
Switzerland,SH
Switzerland,SO
Switzerland,SZ
Switzerland,TG
Switzerland,TI
Switzerland,UR
Switzerland,VD
Switzerland,VS
Switzerland,ZG
Switzerland,ZH
Austria,all
Austria,Vorarlberg
Austria,Karnten
Austria,Oberosterreich
Austria,Burgenland
Austria,Salzburg
Austria,Steiermark
Austria,Tirol
Austria,Wien
Austria,Niederosterreich
South Korea,all
Czechia,Liberecky kraj
Czechia,Kraj Vysocina
Czechia,Kralovehradecky kraj
Czechia,Plzensky kraj
Czechia,Pardubicky kraj
Czechia,Jihocesky kraj
Czechia,Karlovarsky kraj
Czechia,Ustecky kraj
Czechia,Zlinsky kraj
Czechia,Jihomoravsky kraj
Czechia,Olomoucky kraj
Czechia,Moravskoslezsky kraj
Czechia,Stredocesky kraj
Czechia,Hlavni mesto Praha
Czechia,Nezjisteno
Czechia,all
Japan,all
"Taiwan, Province of China",all
Belgium,all
Portugal,all