"Rate per 100,000",Number of actual insulation,A number of recoverers,Number 1. Verified patients,A number of subjects,Population as of 2018,City,
1100.88,206,231,2150,9934,195298,Bnei Brak,
674.26,13,5,58,304,8602,Forests Kochav Yaakov,
654.37,6,29,44,227,6724,Kfar Habad,
643.71,39,30,301,2068,46760,El'ad,
599.48,5,30,64,659,10676,Efrat,
480.87,0,9,24,178,4991,Mitzpe Ramon,
379.92,19,40,99,902,26058,Migdal,
353.62,48,17,261,1500,73808,Modi'in,
350.14,23,28,122,1529,34843,Or Yehuda,
349.43,38,18,207,1287,59240,Betar,
324.67,95,28,144,1737,44353,Upper Elite Tiberias,
304.03,2,3,36,248,11841,Rechasim,
264.39,777,242,2418,22775,914559,Jerusalem,
253.83,10,7,30,387,11819,Azur,
244.37,6,3,36,1127,14732,Jessar a-,
241.25,86,1,30,1021,12435,Threw a tenant to-,
240.52,26,27,70,1017,29104,Assad Yehud,
240.06,36,1,25,683,10414,Daburiyya,
236.38,35,28,56,486,23691,Kiryat Kiryat,
225.14,84,30,272,2341,120812,Angels of Beit Shemesh,
217.01,5,3,16,151,7373,Katzrin,
208.08,14,0,12,121,5767,Beit El,
203.57,19,11,27,323,13263,Even Yehuda,
195.64,117,110,272,3960,139032,Ashkelon,
189.61,19,15,38,716,20041,Shoham,
184.89,15,10,35,631,18930,Ganei Tikva,
180.69,3,0,9,144,4981,Beit Aryeh-Ofarim,
176.53,3,5,13,229,7364,Kiryat,
172.88,34,4,32,520,18510,Four Wolf&#39,s Hill
168.2,26,17,60,700,35671,Zefat,
167.93,30,1,20,664,11910,Jatt,
161.14,13,9,36,469,22341,Zikhron Ya'akov,
157.06,8,0,10,213,6367,Shibliâ€“Umm al-Ghanam,
154.86,17,12,38,686,24538,Hill Hill,
153.82,9,0,9,199,5851,Samuel Peki&#39,in
150.97,2,0,8,117,5299,(Buckeye) Geva Benjamin,
140.12,24,22,52,1151,37112,Kiryat Ono,
138.93,11,3,9,164,6478,Shlomi,
137.76,90,55,120,2858,87108,Maccabim,
137.23,2,5,11,258,8016,Reut Omar,
128.73,70,9,47,761,36511,Netivot,
128.41,46,39,95,1831,73979,Ra'anana,
125.89,40,9,38,705,30185,Ofakim,
120.48,23,13,27,594,22410,Gan Yavne,
120.31,7,3,11,287,9143,Kokhav Ya'ir,
119.88,33,17,61,1177,50886,Afula,
119.11,3,9,15,300,12593,Tel Mond,
118.75,87,48,155,2865,130523,Bat Yam,
112.01,19,11,29,659,25891,Sderot,
109.51,86,43,157,4896,143370,Ramat Gan,
109.42,73,10,41,1162,37469,Degree,
107.29,336,182,483,12325,450192,Reds Tel Aviv -,
105.61,62,36,96,2279,90900,Herzliya,
101.3,152,62,228,4636,225073,Ashdod,
101.19,10,2,8,134,7906,horny,
99.95,63,21,75,1598,75038,Samaria Lod,
99.41,39,5,55,1263,55324,Um al-,
97.43,16,11,24,559,24633,Coal fence,
97.12,4,4,6,222,6178,Lehavim,
96.92,208,62,235,5329,242478,Expand,
94.63,10,1,10,320,10567,Hope Tenant Hanna,
93.55,22,21,42,1118,44896,Ramat HaSharon,
90.14,47,12,42,1026,46596,Carmiel,
88.47,11,0,8,376,9043,Meiter,
88.29,142,41,164,4762,185741,Holon,
88.07,15,1,5,128,5677,Eilabun,
86.72,19,4,21,636,24216,Be'er Ya'akov,
86.3,178,78,208,6386,241010,First,
84.91,6,3,9,218,10600,To mark Kiryat,
84.8,20,12,30,801,35377,Dimona Principle,
82.72,143,49,177,3899,213971,Netanya,
79.74,37,13,60,1598,75246,Ramla,
79.46,106,43,109,3198,137178,Rehovot,
77.25,121,33,152,5133,196755,Be'er Sheva,
77.21,2,3,6,167,7771,Alfie,
74.64,16,14,34,1109,45555,Menashe will build,
73.91,63,29,72,2069,97412,Kfar Saba,
73.13,8,3,5,159,6837,Bnei Aish,
73.04,38,4,32,1122,43811,Nof Ha'Galil,
72.33,35,1,21,848,29035,Baka al-,
71.81,15,1,6,315,8355,Her socks are in her arms,
71.44,5,1,4,106,5599,Kfar Vradim,
69.92,8,0,7,244,10011,Jaljulia,
68.59,37,13,38,1093,55400,Kiryat Gat,
67.26,18,4,18,364,26763,Arad,
67.21,8,3,14,455,20831,Kadima,
67.18,3,0,4,131,5954,Zoran Tzur Yitzhak,
66.89,8,5,10,423,14949,Souvenir,
66.71,95,5,36,1420,53965,Rosh Haayin,
65.72,6,4,14,478,21301,Kfar Yona,
65.31,27,14,36,1417,55123,Givatayim,
63.65,9,4,5,282,7856,Tzur Hadassah,
62.94,8,5,14,385,22243,Tirat Carmel,
61.64,11,8,14,363,22711,Yokne'am,
61.23,6,2,4,138,6533,Elite Beit Dagan,
60.84,27,13,36,1249,59171,Hod HaSharon,
60.62,19,5,14,689,23093,Heralds,
60.56,10,0,9,194,14861,Score up,
60.27,129,1,11,475,18251,Iron Ariel,
58.15,20,7,23,717,39556,Eight Kiryat Yam,
57.23,10,1,5,243,8737,Harish,
53.91,5,5,12,319,22261,Maalot,
53.72,8,0,3,103,5584,Chart my hair,
52.59,37,3,34,1308,64649,Rahat hope,
52.09,131,32,142,4542,272584,Haifa,
51.06,26,12,30,1127,58750,Nahariya,
51.03,50,1,12,733,23517,Kafr Qasim,
50.68,3,0,5,77,9866,Beer al-,
49.38,23,0,5,184,10126,The shortage of their spirit,
47.77,7,1,7,239,14655,Iksal,
47.35,15,7,16,602,33792,Tamra,
43.75,23,4,20,1090,45714,Ness Ziona,
43.32,8,1,3,184,6926,Zemer,
41.28,7,1,7,193,16957,Kuseife,
41.14,0,1,4,168,9722,Hazor,
40.38,54,14,38,1434,94104,The Galilean penetrated,
38.89,36,5,22,1014,56568,Eilat,
38.2,16,5,15,871,39262,Kiryat Kiryat,
37.94,10,0,2,123,5272,Caesarea Bialik,
37.35,13,0,5,143,13388,Ein Mahil,
36.77,24,8,21,889,57108,Kiryat Ata,
35.77,11,2,8,325,22364,Maghar,
35.38,14,4,18,679,50872,Acre,
34.01,5,1,3,215,8822,Oranit,
33.18,0,1,2,140,6027,Pardesiya,
32.95,24,1,4,339,12141,Isfiya,
32.54,3,1,2,72,6147,Jules,
31.88,22,1,6,430,18820,Kafr Qara,
31.81,20,0,2,170,6288,Hurfeish,
31.76,6,0,6,242,18893,Or Akiva,
30.38,10,1,4,206,13167,Nahaf,
30.37,5,2,2,68,6586,Buq'ata,
30.08,13,1,3,150,9974,Buena,
28.48,2,0,3,236,10532,Nujidat in the Sama,
28.36,7,2,3,148,10577,Kafr Yasif,
27.64,3,1,2,178,7236,Ramat Yishai,
27.08,13,4,11,657,40622,Orchard,
26.87,4,1,2,155,7442,Hana-Karkur Atlit,
25.53,3,1,2,69,7833,Motzkin Bashtem,
25.5,19,1,11,747,43144,Tayibe,
22.69,8,2,5,331,22032,Nesher,
21.81,36,3,7,566,32089,Sakhnin,
20.86,8,0,3,212,14383,Binyamina,
19.52,39,1,1,167,5124,Givat Ada Bat Hefer,
19.1,21,0,5,602,26184,Tiraa,
18.95,8,1,3,298,15831,Kiryat Kiryat,
17.89,31,3,14,869,78252,Tivon Tivon Nazareth,
17.21,51,2,7,484,40666,Shefa-'Amr,
16.53,4,0,2,132,12102,"Kabul, Israel",
15.74,5,2,3,166,19056,Yafa an-Naseriyye,
15.23,25,0,2,360,13133,Fureidis,
15.04,1,0,1,26,6648,Good,
13.09,13,0,2,376,15275,Zangaria Majed Al-,
12.83,0,1,1,81,7792,Chrome Abu Ghosh,
12.13,4,0,1,200,8243,Rama,
11.84,0,0,1,28,8446,Abu Rubiya,
11.7,0,0,1,112,8550,(Tribe) Kesra-smiye,
11.59,21,0,3,422,25876,Arraba,
10.49,2,0,2,212,19058,Beit She'an,
10.17,36,0,2,497,19667,Ar'ara,
9.74,5,0,2,220,20524,Jadeida-,
9.02,5,1,1,112,11089,Sold Majdal Shams,
8.91,12,0,2,296,22449,Kafr Kanna,
7.6,9,0,1,114,13164,Abu Snan,
6.01,0,0,1,27,16644,From Saudi Arabia to,
5.73,4,0,1,92,17465,Azazma appealed-,
5.04,3,0,1,60,19850,In the Negev Tel Sheva,
4.4,20,1,1,293,22740,Clanswa,
0,6,0,0,157,20003,Kafr Manda,
0,6,0,0,180,16993,Daliyat al-Karmel,
0,5,0,0,60,16983,Carmel Hora,
0,3,0,0,140,16614,Reina,
0,3,0,0,116,15418,Yarka,
0,10,0,0,85,14695,Lakiya,
0,3,0,0,111,14398,Tur'an,
0,8,0,0,111,13062,I'billin,
0,6,0,0,97,11757,Beit Jan,
0,3,0,0,30,10310,Shaqib al-Salam,
0,0,0,0,17,10149,Negev Bedouin,
0,1,0,0,25,9696,Negev Bedouin,
0,3,0,0,65,8649,Mashhad,
0,3,0,0,55,8385,Zarzir,
0,1,0,0,48,8241,Ilut,
0,0,0,0,90,7191,"Sha'ab, Israel",
0,2,0,0,54,6514,Jan-Jat,
0,0,0,0,11,6235,Abu Qrenat,
0,2,0,0,30,5780,(Tribe) (tribe) (tribe) as Abaya-Tabash-Hajjara,
